"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 23:59:31 CST 2019","Mon Apr 29 23:59:38 CST 2019","6851","","password change page","","password change page","Admin can update own password","Admin can update own password",""
"passed","Tue Apr 30 00:12:09 CST 2019","Tue Apr 30 00:12:09 CST 2019","35","","protection invalid request policy:  blank page","","protection invalid request policy:  blank page","check post nonwhitelist will be 200 with empty content","check post nonwhitelist will be 200 with empty content",""
"passed","Tue Apr 30 00:15:54 CST 2019","Tue Apr 30 00:15:57 CST 2019","3044","","dashboard","","dashboard","created admin click see more","created admin click see more",""
"passed","Tue Apr 30 00:19:37 CST 2019","Tue Apr 30 00:19:49 CST 2019","12162","","Log output: formatted log set udp: error log","","Log output: formatted log set udp: error log","check only abnormal log are outputed to logserver","check only abnormal log are outputed to logserver",""
"passed","Tue Apr 30 00:13:44 CST 2019","Tue Apr 30 00:13:44 CST 2019","30","","advanced setting: request and response headers all enabled with some changed value","","advanced setting: request and response headers all enabled with some changed value","check response headers","check response headers",""
"passed","Tue Apr 30 00:16:42 CST 2019","Tue Apr 30 00:16:48 CST 2019","6021","","security log","","security log","category deselect inject and cookie, result will not show inject nor cookie entries","category deselect inject and cookie, result will not show inject nor cookie entries",""
"passed","Mon Apr 29 23:30:22 CST 2019","Mon Apr 29 23:30:22 CST 2019","0","","protection basic settings: IP based on: with 1 IP","","protection basic settings: IP based on: with 1 IP","UI check mode","UI check mode",""
"passed","Mon Apr 29 23:32:34 CST 2019","Mon Apr 29 23:32:34 CST 2019","3","","protection request whitelist  set one item getonly","","protection request whitelist  set one item getonly","check ui","check ui",""
"passed","Tue Apr 30 00:09:46 CST 2019","Tue Apr 30 00:09:49 CST 2019","2254","","Log output: raw set off","","Log output: raw set off","check ui: enabled status","check ui: enabled status",""
"passed","Tue Apr 30 00:10:20 CST 2019","Tue Apr 30 00:10:43 CST 2019","23094","","Log output: formatted log set tcp: normal log","","Log output: formatted log set tcp: normal log","check the parsed log is outputed to logserver protocol is tcp,normal log","check the parsed log is outputed to logserver protocol is tcp,normal log",""
"passed","Tue Apr 30 00:12:53 CST 2019","Tue Apr 30 00:12:53 CST 2019","46","","protection basic settings: IP based off: one subnet + one IP","","protection basic settings: IP based off: one subnet + one IP","off: matching iP, response should not include corejs, curl=/155655433866382","off: matching iP, response should not include corejs, curl=/155655433866382",""
"passed","Mon Apr 29 23:56:06 CST 2019","Mon Apr 29 23:56:06 CST 2019","1","","set error template off","","set error template off","check ui","check ui",""
"passed","Tue Apr 30 00:04:43 CST 2019","Tue Apr 30 00:04:58 CST 2019","14921","","update src ip  to X-Forwarded-For: protectionData.last","","update src ip  to X-Forwarded-For: protectionData.last","check log page shows IP as header value 3.3.3.3","check log page shows IP as header value 3.3.3.3",""
"passed","Mon Apr 29 23:57:15 CST 2019","Mon Apr 29 23:57:28 CST 2019","13137","","default admin account management","","default admin account management","change type from admin to viewer : enabled","change type from admin to viewer : enabled",""
"passed","Mon Apr 29 23:34:58 CST 2019","Mon Apr 29 23:34:58 CST 2019","1","","protection waf features:  on","","protection waf features:  on","check uistatus","check uistatus",""
"passed","Mon Apr 29 23:59:57 CST 2019","Tue Apr 30 00:00:00 CST 2019","2967","","dashboard","","dashboard","admin click node ip","admin click node ip",""
"passed","Tue Apr 30 00:13:14 CST 2019","Tue Apr 30 00:13:14 CST 2019","40","","protection basic settings: IP based on: with 2 IP and 1 subnet","","protection basic settings: IP based on: with 2 IP and 1 subnet","not in the list, curl should not be reloaded nor rejected, curl=/155655433866382","not in the list, curl should not be reloaded nor rejected, curl=/155655433866382",""
"passed","Tue Apr 30 00:08:12 CST 2019","Tue Apr 30 00:08:12 CST 2019","103","","role based menu and user menu check support","","role based menu and user menu check support","_testUserMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":true,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":true,""isSystemUpdateVisible"":true,""isNetworkSettingsVisible"":true,""isLicenseVisible"":true,""isSSLCertificateVisbile"":true}","_testUserMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":true,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":true,""isSystemUpdateVisible"":true,""isNetworkSettingsVisible"":true,""isLicenseVisible"":true,""isSSLCertificateVisbile"":true}",""
"passed","Tue Apr 30 00:05:31 CST 2019","Tue Apr 30 00:05:56 CST 2019","25441","","update src ip  to none","","update src ip  to none","the log page should show socket ip ","the log page should show socket ip ",""
"passed","Mon Apr 29 23:30:02 CST 2019","Mon Apr 29 23:30:02 CST 2019","0","","protection basic settings: IP based off: with one single IP","","protection basic settings: IP based off: with one single IP","UI check mode","UI check mode",""
"passed","Tue Apr 30 00:14:35 CST 2019","Tue Apr 30 00:14:37 CST 2019","1782","","Update User page display check","","Update User page display check","support account: type and pwd is readonly","support account: type and pwd is readonly",""
"passed","Mon Apr 29 23:22:28 CST 2019","Mon Apr 29 23:22:28 CST 2019","0","","protection web standard security scheme: autoTool dection  true","","protection web standard security scheme: autoTool dection  true","check uistatus","check uistatus",""
"passed","Tue Apr 30 00:11:28 CST 2019","Tue Apr 30 00:11:29 CST 2019","805","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":false,""confValue"":""browser"",""reject"":true}","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":false,""confValue"":""browser"",""reject"":true}","browser access should be reject true","browser access should be reject true",""
